ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,Product Type,CHANNEL,Bank code,STATUS,SUB_STATUS,Fraud Category,Anomaly
13,6,11,115,324,2,44,1,1,4,1,4,3,0,1,3,8,1
26,5,11,45,4,4,5,0,1,9,1,3,3,0,1,3,8,0
27,12,10,45,4,4,17,0,1,9,1,3,3,0,1,3,8,0
27,12,11,42,4,4,36,0,1,4,1,3,3,0,1,3,8,0
47,5,6,7,4,4,67,0,1,9,1,3,3,0,1,3,8,0
38,10,0,22,4,4,18,0,1,4,1,3,3,0,0,11,8,0
25,5,2,45,4,4,15,0,1,9,1,3,3,0,1,3,8,0
39,10,11,61,242,4,92,0,1,6,1,4,0,0,1,3,8,0
36,12,4,141,347,4,97,0,1,6,1,4,0,0,1,3,8,0
20,2,10,102,305,4,106,1,1,6,1,4,0,0,0,11,8,0
33,12,2,104,307,4,119,0,1,6,1,4,0,0,1,3,8,0
47,10,2,102,305,4,65,0,1,6,1,4,0,0,1,3,8,0
43,1,11,141,347,4,168,0,1,6,1,4,0,0,1,3,8,0
47,11,6,61,242,4,51,0,1,6,1,4,0,0,1,3,8,0
45,5,6,61,242,4,67,0,1,6,1,4,0,0,1,3,8,0
38,1,6,61,242,4,49,0,1,6,1,4,0,0,1,3,8,0
32,5,11,161,300,4,44,0,0,4,1,3,0,0,1,2,8,0
33,12,11,108,113,4,103,0,1,4,1,3,0,0,1,3,8,0
44,12,11,82,189,4,51,0,0,4,1,3,0,0,1,3,8,0
33,12,11,120,168,4,83,0,1,4,1,3,0,0,1,3,8,0
47,10,8,145,330,4,92,0,0,10,1,3,0,0,1,3,8,0
36,11,11,119,208,4,70,0,1,4,1,3,0,0,1,3,8,0
46,12,11,82,217,4,59,0,0,4,1,3,0,0,1,3,8,0
27,5,11,132,126,4,76,0,0,4,1,3,0,0,1,3,8,0
44,10,11,89,220,4,108,0,0,4,1,3,0,0,1,3,8,0
35,6,11,82,67,4,92,0,1,4,1,3,0,0,1,3,8,0
33,5,11,119,165,4,94,0,1,4,1,3,0,0,1,3,8,0
24,6,11,163,386,4,148,1,1,9,1,4,0,0,1,3,8,1
27,11,10,51,101,0,17,0,1,14,1,3,3,0,1,3,8,1
48,12,11,115,324,1,85,0,0,4,1,4,3,0,1,3,8,1
8,2,0,52,251,4,54,0,1,9,1,3,0,0,1,3,8,1
21,12,11,52,251,4,51,0,1,9,1,3,0,0,3,0,8,0
25,12,0,52,251,4,26,0,1,9,1,3,0,1,1,3,8,0
35,12,11,174,293,1,143,0,0,28,1,3,3,0,1,3,8,1
48,11,11,108,311,4,102,0,0,19,1,3,3,0,1,3,8,0
37,5,11,108,318,4,67,0,1,19,1,3,3,0,0,11,8,0
29,11,0,108,320,0,36,0,1,26,1,3,3,0,1,3,8,1
29,12,4,70,251,4,44,0,1,26,1,3,3,0,1,3,8,0
41,12,0,108,320,0,76,0,0,26,1,3,3,0,1,3,8,1
26,5,11,15,14,4,5,0,1,9,1,3,3,0,1,3,8,0
28,12,2,89,100,4,36,0,0,21,1,3,3,0,1,3,8,0
22,2,0,104,196,4,15,1,1,18,1,3,3,0,0,11,8,1
35,11,11,61,242,4,59,0,1,9,1,4,3,0,1,9,8,0
37,12,2,142,364,4,131,0,1,4,1,4,0,0,1,3,8,0
50,12,11,163,386,4,137,0,1,4,1,4,0,0,0,11,8,0
54,5,8,0,376,4,136,0,1,4,1,4,3,0,0,11,8,0
57,12,9,0,347,4,64,0,1,4,1,4,0,0,0,11,8,0
33,6,11,0,382,4,131,1,1,4,1,4,0,0,0,11,8,0
53,10,4,0,307,3,67,0,1,9,1,4,0,0,0,11,8,0
53,10,4,0,307,4,67,0,1,9,1,4,0,0,0,11,8,0
37,12,11,0,382,4,131,0,1,4,1,4,0,0,3,15,8,0
50,10,9,0,382,4,131,0,1,4,1,4,0,0,0,11,8,0
62,11,9,0,382,4,120,0,1,4,1,4,0,0,0,11,8,0
53,10,9,0,347,4,148,0,1,4,1,4,0,0,0,11,8,0
15,6,11,50,4,4,42,1,1,4,1,3,3,0,6,1,8,1
35,0,0,61,242,4,67,1,1,6,1,4,0,0,0,11,8,1
23,6,11,141,347,4,70,0,1,6,1,4,0,0,0,11,8,0
23,6,11,141,347,4,76,0,1,6,1,4,0,0,0,11,8,0
17,6,11,141,347,4,88,0,1,6,1,4,0,0,0,11,8,0
28,5,11,127,332,4,92,0,1,6,1,4,0,0,3,15,8,0
23,11,11,141,347,4,137,0,1,6,1,4,0,0,0,11,8,0
23,2,11,141,347,4,67,1,1,6,1,4,0,0,0,11,8,1
33,12,11,141,347,4,75,0,1,6,1,4,0,0,0,11,8,0
41,12,11,61,242,4,51,0,1,6,1,4,0,0,0,11,8,0
40,1,11,141,347,4,85,0,1,6,1,4,3,0,2,1,8,0
47,1,11,61,242,4,85,0,1,6,1,4,0,0,0,11,8,0
41,1,11,103,306,4,108,0,1,6,1,4,0,0,0,11,8,0
23,1,11,61,242,4,67,3,1,6,1,4,3,0,2,1,8,1
23,10,11,104,307,4,67,3,1,6,1,4,3,0,2,1,8,1
23,10,11,61,242,4,67,3,1,6,1,4,3,0,2,1,8,1
34,12,0,127,332,4,53,0,1,9,1,4,3,0,8,8,8,1
33,10,2,43,260,4,36,0,1,6,1,3,0,0,0,11,8,0
34,6,11,118,340,4,67,1,1,9,1,3,0,0,0,11,8,0
33,11,11,52,255,4,92,0,1,9,1,3,0,0,0,11,8,0
31,10,11,91,318,4,51,0,1,9,1,3,0,0,0,11,8,0
20,10,6,52,255,4,67,0,1,9,1,3,0,0,0,11,8,0
20,1,6,52,255,4,67,0,1,9,1,3,0,0,0,11,8,0
41,1,11,112,349,4,108,0,1,6,1,3,0,0,0,11,8,0
51,1,9,40,251,4,26,3,0,9,1,3,3,0,1,2,8,1
64,10,9,0,409,3,181,0,1,30,1,2,0,0,0,11,8,1
27,12,11,108,318,4,84,0,1,16,1,3,0,0,0,11,8,0
26,11,11,70,251,4,67,0,1,19,1,3,1,0,3,0,8,0
50,12,9,108,318,4,134,0,0,16,1,3,0,0,0,11,8,0
49,12,11,131,337,4,85,0,0,26,1,3,3,0,8,8,8,1
30,5,11,131,334,4,85,0,1,26,1,3,3,0,2,1,8,0
38,5,8,108,318,4,44,0,1,26,1,3,3,0,0,11,8,0
40,1,11,143,351,4,85,0,0,26,1,3,3,0,8,8,8,1
11,6,12,131,337,4,100,1,1,26,1,3,3,0,8,8,8,1
14,6,11,143,350,4,128,1,1,26,1,3,3,0,3,0,8,1
38,5,11,143,350,4,139,0,1,26,1,3,3,0,2,1,8,0
49,11,11,143,350,4,113,0,0,19,1,3,3,0,3,0,8,1
41,5,11,108,318,4,59,0,1,19,1,3,0,0,0,11,8,0
5,11,8,108,318,4,148,0,1,19,1,3,3,0,0,11,8,0
5,11,8,108,318,4,148,0,1,19,1,3,3,0,0,11,8,0
20,2,11,152,359,4,119,1,1,26,1,3,3,0,2,1,8,1
14,6,11,158,366,4,128,1,1,26,1,3,3,0,3,0,8,1
10,11,11,164,379,4,165,0,1,26,1,3,3,0,0,11,8,1
22,6,11,152,361,4,105,1,1,26,1,3,3,0,0,11,8,1
19,6,11,152,361,4,85,1,1,26,1,3,3,0,0,11,8,1
12,6,12,158,369,0,128,1,1,22,1,3,3,0,0,11,8,1
21,2,10,168,383,4,142,1,1,26,1,3,3,0,2,1,8,1
23,6,11,171,388,4,141,1,0,26,1,3,3,0,8,8,8,1
35,12,2,87,291,0,53,0,1,26,1,3,1,0,1,2,8,1
39,12,11,131,337,4,89,0,1,19,1,3,3,0,0,11,8,0
38,6,11,0,382,4,123,0,1,4,1,2,0,0,2,1,8,0
44,12,11,39,160,0,108,0,0,33,1,3,3,0,1,3,8,1
36,6,11,127,332,4,106,0,1,6,1,4,0,0,0,11,8,0
42,12,11,142,364,4,94,0,1,6,1,4,0,0,0,11,8,0
39,11,6,136,371,4,108,0,1,9,1,3,0,0,0,11,2,0
18,2,12,163,386,4,100,1,1,4,1,4,0,0,2,1,2,1
3,11,9,163,386,4,119,0,1,4,1,4,0,0,2,1,2,0
47,5,6,163,386,4,142,0,0,4,1,4,0,0,2,1,2,0
11,2,12,163,386,4,142,1,1,4,1,4,0,0,2,1,2,1
16,2,12,163,386,4,142,1,1,4,1,4,0,0,2,1,2,1
11,2,12,163,386,4,131,1,1,4,1,4,0,0,2,1,2,1
11,2,12,163,386,4,131,1,1,4,1,4,0,0,2,1,2,1
8,11,9,163,386,4,146,0,1,4,1,4,0,0,2,1,2,0
13,2,12,163,386,4,148,1,1,4,1,4,0,0,2,1,2,1
12,2,12,163,386,4,142,1,1,4,1,4,0,0,2,1,2,1
15,2,12,163,386,4,153,0,1,4,1,4,0,0,2,1,2,0
8,11,9,163,386,4,146,0,1,4,1,4,0,0,2,1,2,0
18,6,12,163,386,4,148,1,1,4,1,4,0,0,2,1,2,1
13,6,12,157,383,4,150,1,1,6,1,3,0,0,2,1,2,1
15,2,12,157,383,4,142,1,1,6,1,3,0,0,2,1,2,1
18,6,2,149,366,4,134,1,1,9,1,3,0,0,2,1,2,0
6,11,11,166,381,4,131,0,1,26,1,3,0,0,2,1,2,1
8,11,6,166,381,4,123,0,1,26,1,3,0,0,2,1,2,1
5,11,2,166,381,4,131,0,1,26,1,3,0,0,2,1,2,1
46,12,11,7,47,4,67,0,1,1,1,3,0,0,0,11,8,0
44,12,11,7,46,4,67,0,1,1,1,3,0,0,0,11,8,0
50,12,11,17,127,4,51,0,0,1,1,3,0,0,0,11,8,0
39,5,11,50,286,4,119,0,1,1,1,3,3,0,0,11,8,0
40,12,11,35,241,1,94,0,1,1,1,3,3,0,0,11,8,0
27,12,0,17,31,4,36,0,1,4,1,4,0,2,0,11,8,1
32,12,11,39,136,4,26,0,1,4,1,4,0,0,0,11,8,0
31,11,0,32,83,0,5,0,1,9,1,4,3,0,0,11,8,1
32,12,8,37,4,4,85,0,1,9,1,3,3,0,0,11,8,0
35,11,2,24,4,4,15,0,1,9,1,3,3,0,0,11,8,0
47,10,2,1,0,4,5,0,1,4,1,3,3,0,0,11,8,0
23,12,10,56,4,4,5,0,1,9,1,3,3,0,0,11,8,0
37,12,0,24,4,4,26,0,1,9,1,3,0,3,0,11,8,0
33,12,10,37,4,4,5,0,1,9,1,3,3,0,0,11,2,0
32,10,10,37,4,4,8,0,1,9,1,3,3,0,0,11,8,0
26,1,11,45,4,4,36,0,1,9,1,3,3,0,0,11,8,0
18,5,6,56,4,4,33,0,1,9,1,3,3,0,0,11,8,0
47,10,10,7,4,4,23,0,1,9,1,3,3,0,0,11,8,0
32,12,2,37,4,4,15,0,1,9,1,3,3,0,0,11,8,0
42,10,0,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
36,12,0,22,4,4,26,0,1,4,1,3,0,0,0,11,8,0
48,10,2,7,4,4,26,0,1,4,1,3,3,0,0,11,8,0
33,10,2,34,4,4,15,0,1,4,1,3,3,0,0,11,8,0
40,10,0,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
43,12,11,17,4,4,18,0,1,9,1,3,3,0,0,11,8,0
26,6,2,42,4,4,15,0,1,4,1,3,3,0,0,11,8,0
20,12,2,56,4,4,19,0,1,9,1,3,3,0,0,11,8,0
40,1,10,17,4,4,17,0,1,9,1,3,3,0,0,11,8,0
27,12,0,42,4,4,3,0,1,4,1,3,0,0,0,11,8,0
37,12,11,24,4,4,26,0,1,9,1,3,3,0,0,11,8,0
46,12,9,7,4,4,135,0,1,9,1,3,3,0,0,11,8,0
19,2,10,56,4,4,17,0,1,9,1,3,3,0,0,11,8,0
31,12,2,37,4,4,26,0,0,9,1,3,3,0,0,11,8,0
25,12,2,45,4,4,28,0,1,9,1,3,3,0,0,11,8,0
34,12,0,24,4,4,5,0,1,9,1,3,3,0,0,11,8,0
39,10,6,17,4,4,26,0,1,9,1,3,3,0,0,11,8,0
23,2,8,56,4,4,26,1,0,9,1,3,3,0,0,11,8,1
29,12,2,37,4,4,15,0,1,9,1,3,3,0,0,11,8,0
43,12,0,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
31,5,2,37,4,4,12,0,1,9,1,3,3,0,0,11,8,0
38,12,2,24,4,4,12,0,1,9,1,3,3,0,0,11,8,0
25,12,2,42,4,4,5,0,1,4,1,3,1,0,0,11,8,0
48,12,8,7,4,4,36,0,1,9,1,3,3,0,0,11,8,0
42,12,2,17,4,4,9,0,1,9,1,3,3,0,0,11,8,0
36,12,0,6,2,4,4,0,1,4,1,3,1,0,0,11,8,0
42,10,10,17,4,4,26,0,0,9,1,3,3,0,0,11,8,0
36,11,10,4,1,4,15,0,1,4,1,3,1,0,0,11,8,0
37,10,10,24,4,4,5,0,1,9,1,3,1,0,0,11,8,0
42,11,0,13,4,4,26,0,0,4,1,3,1,0,0,11,8,0
20,0,11,56,4,4,7,1,1,9,1,3,3,0,0,11,8,1
39,12,2,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
43,1,6,17,4,4,20,0,1,9,1,3,3,0,0,11,8,0
32,10,2,37,4,4,13,0,1,9,1,3,3,0,0,11,8,0
29,11,2,37,4,4,59,0,1,9,1,3,3,0,0,11,8,0
48,12,2,7,4,4,15,0,1,9,1,3,3,0,0,11,8,0
30,12,0,37,4,4,36,0,1,9,1,3,3,0,0,11,8,0
33,12,2,37,4,4,42,0,1,9,1,3,3,0,0,11,8,0
48,1,0,7,4,4,15,0,1,9,1,3,3,0,0,11,8,0
47,12,2,7,4,4,28,0,1,4,1,3,3,0,0,11,8,0
26,11,0,45,4,4,22,0,0,9,1,3,3,0,0,11,8,0
28,6,10,45,4,4,26,1,1,9,1,3,3,0,0,11,8,0
39,10,2,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
48,10,8,1,0,4,28,0,1,9,1,3,0,0,0,11,8,0
35,11,2,24,4,4,21,0,1,9,1,3,3,0,0,11,8,0
39,9,2,13,4,4,26,1,1,4,1,3,3,0,0,11,8,0
31,11,6,37,4,4,16,0,1,9,1,3,3,0,0,11,8,0
46,12,11,7,4,4,26,0,1,9,1,3,3,0,0,11,8,0
38,12,2,24,4,4,26,0,1,9,1,3,3,0,0,11,8,0
39,12,0,17,4,4,44,0,0,9,1,3,3,0,0,11,8,0
43,11,0,13,4,4,15,0,1,4,1,3,3,0,0,11,8,0
41,11,11,13,4,4,67,0,1,4,1,3,3,0,0,11,8,0
30,12,2,37,4,4,14,0,1,9,1,3,3,0,0,11,8,0
31,12,10,37,4,4,18,0,1,9,1,3,3,0,0,11,8,0
37,11,8,24,4,4,26,0,0,9,1,3,3,0,0,11,8,0
43,12,2,17,4,4,36,0,1,9,1,3,3,0,0,11,8,0
45,11,2,7,4,4,26,0,1,9,1,3,3,0,0,11,8,0
31,12,2,37,4,4,18,0,1,9,1,3,3,0,0,11,8,0
32,12,10,34,4,4,29,0,0,4,1,3,3,0,0,11,8,0
29,5,2,37,4,4,26,0,1,9,1,3,3,0,0,11,8,0
37,12,2,24,4,4,26,0,1,9,1,3,3,0,0,11,8,0
38,10,2,24,4,4,44,0,1,9,1,3,3,0,0,11,8,0
36,12,2,22,4,4,36,0,1,4,1,3,3,0,0,11,8,0
41,12,0,17,4,4,26,0,1,9,1,3,3,0,0,11,8,0
34,11,10,24,4,4,2,0,1,9,1,3,3,0,0,11,8,0
36,10,0,22,4,4,41,0,1,4,1,3,0,0,0,11,8,0
40,10,0,17,4,4,18,0,1,9,1,3,3,0,0,11,8,0
36,10,2,24,4,4,9,0,1,9,1,3,3,0,0,11,8,0
47,10,11,7,4,4,67,0,1,9,1,3,3,0,0,11,8,0
41,10,10,17,4,4,18,0,1,9,1,3,3,0,0,11,8,0
47,10,11,7,4,4,4,0,1,9,1,3,3,0,0,11,8,0
39,12,0,13,4,4,85,0,1,4,1,3,0,0,0,11,8,0
27,12,0,45,4,4,26,0,1,9,1,3,3,0,0,11,8,0
30,12,10,37,4,4,15,0,1,9,1,3,3,0,0,11,8,0
43,12,2,17,4,4,15,0,0,9,1,3,3,0,0,11,8,0
40,0,2,17,4,4,18,0,1,9,1,3,0,4,0,11,8,1
27,5,10,45,4,4,8,0,1,9,1,3,3,0,0,11,8,0
33,5,10,13,2,4,5,0,1,4,1,3,1,0,0,11,8,0
21,11,2,50,4,4,15,0,1,4,1,3,3,0,0,11,8,0
44,0,2,7,4,4,26,0,1,4,1,3,1,0,0,11,8,0
37,5,0,22,4,4,7,0,1,4,1,3,1,0,0,11,8,0
47,1,0,7,4,4,53,0,1,9,1,3,3,0,0,11,8,0
46,10,2,3,3,4,15,0,1,4,1,3,3,0,0,11,8,0
45,0,0,7,4,4,21,1,1,4,1,3,0,0,0,11,8,1
45,10,6,7,4,4,33,0,1,9,1,3,0,4,0,11,8,0
43,5,0,13,4,4,7,0,1,4,1,3,1,0,0,11,8,0
47,10,11,7,4,4,26,0,1,4,1,3,1,0,0,11,8,0
37,5,0,11,3,4,7,0,1,9,1,3,1,0,0,11,8,0
31,12,0,37,4,4,15,0,1,9,1,3,3,0,0,11,8,0
28,11,2,45,4,4,44,0,1,9,1,3,3,0,0,11,8,0
42,10,10,5,3,4,36,0,1,4,1,3,1,0,0,11,8,0
27,5,2,45,4,4,15,0,1,9,1,3,3,0,0,11,8,0
16,6,11,56,4,4,3,1,1,9,1,3,3,0,0,11,8,1
21,5,11,50,4,4,26,0,1,4,1,3,3,0,0,11,8,0
46,12,0,7,4,4,15,0,1,4,1,3,0,0,0,11,8,0
41,11,2,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
41,12,11,13,4,4,46,0,1,4,1,3,0,0,0,11,8,0
40,10,6,17,4,4,33,0,1,9,1,3,0,0,0,11,8,0
44,11,2,7,4,4,51,0,1,4,1,3,0,0,0,11,8,0
41,5,10,13,4,4,18,0,1,4,1,3,0,0,0,11,8,0
45,1,0,7,4,4,26,0,1,9,1,3,3,0,0,11,8,0
43,12,0,13,4,4,22,0,1,4,1,3,0,0,0,11,8,0
48,12,2,7,4,4,15,0,1,9,1,3,3,0,0,11,8,0
43,12,2,17,4,4,15,0,1,9,1,3,3,0,0,11,8,0
41,5,2,17,4,4,5,0,1,9,1,3,3,0,0,11,8,0
43,12,10,17,4,4,18,0,1,9,1,3,3,0,0,11,8,0
43,5,6,17,4,4,35,0,1,9,1,3,3,0,0,11,8,0
43,1,10,17,4,4,7,0,1,9,1,3,3,0,0,11,8,0
40,11,2,17,4,4,42,0,1,9,1,3,3,0,0,11,8,0
35,1,11,50,4,4,67,3,1,4,1,3,3,0,0,11,8,1
43,10,11,50,206,4,72,0,1,6,1,4,0,0,0,11,8,0
46,12,2,61,242,4,33,0,0,6,1,4,0,0,0,11,8,0
45,12,11,103,306,4,107,0,1,6,1,4,0,0,0,11,8,0
46,12,9,73,274,4,51,0,1,9,1,4,3,0,0,11,8,0
43,12,11,50,206,4,51,0,1,6,1,4,0,0,0,11,8,0
48,11,11,50,206,4,83,0,0,6,1,4,3,0,0,11,8,0
43,12,11,50,206,4,88,0,1,6,1,4,3,0,0,11,8,0
39,5,6,103,306,4,108,0,0,9,1,4,3,0,0,11,8,0
39,11,11,141,347,4,53,0,0,6,1,4,0,0,0,11,8,0
35,12,11,61,242,4,106,0,0,6,1,4,0,0,0,11,8,0
47,12,11,39,136,4,42,0,1,6,1,4,0,0,0,11,8,0
42,12,11,73,274,4,100,0,1,6,1,4,0,0,0,11,8,0
47,10,11,61,242,4,87,0,1,6,1,4,0,0,0,11,8,0
39,12,9,102,305,4,42,0,0,6,1,4,3,0,0,11,8,0
48,12,11,61,242,4,106,0,1,6,1,4,0,0,0,11,8,0
45,12,2,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
29,12,11,61,242,4,85,0,1,6,1,4,0,0,0,11,8,0
45,11,11,39,136,4,92,0,0,6,1,4,0,0,0,11,8,0
47,12,11,39,136,4,67,0,1,6,1,4,0,0,0,11,8,0
46,1,11,104,307,4,67,3,1,6,1,4,0,0,0,11,8,1
47,5,6,73,274,4,76,0,1,6,1,4,0,0,0,11,8,0
41,12,10,61,242,4,26,0,1,6,1,4,0,0,0,11,8,0
36,12,10,39,136,4,17,0,1,6,1,4,3,0,0,11,8,0
38,12,11,39,136,4,54,0,0,6,1,4,0,0,0,11,8,0
44,12,11,103,306,4,106,0,1,6,1,4,0,0,0,11,8,0
42,12,11,61,242,4,76,0,0,6,1,4,0,0,0,11,8,0
48,11,11,39,136,4,78,0,1,6,1,4,0,0,0,11,8,0
45,12,11,104,307,4,92,0,1,6,1,4,0,0,0,11,8,0
44,12,11,61,242,4,51,0,0,9,1,4,3,0,0,11,8,0
41,10,0,61,242,4,89,0,0,6,1,4,0,0,0,11,8,0
37,12,11,39,136,4,70,0,1,6,1,4,0,0,0,11,8,0
48,5,11,61,242,4,119,0,1,6,1,4,0,0,0,11,8,0
45,12,11,41,161,4,67,0,0,6,1,4,0,0,0,11,8,0
19,5,10,61,242,4,36,0,0,6,1,4,3,0,0,11,8,0
44,12,0,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
46,11,11,39,136,4,67,0,1,6,1,4,0,0,0,11,8,0
39,12,11,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
41,5,6,61,242,4,33,0,1,6,1,4,0,0,0,11,8,0
43,12,11,61,242,4,51,0,0,6,1,4,0,0,0,11,8,0
45,12,11,61,242,4,85,0,0,6,1,4,0,0,0,11,8,0
46,12,11,61,242,4,104,0,0,6,1,4,0,0,0,11,8,0
44,12,11,61,242,4,67,0,0,6,1,4,0,0,0,11,8,0
45,12,11,39,136,4,85,0,1,6,1,4,0,0,0,11,8,0
47,12,11,39,136,4,59,0,1,6,1,4,0,0,0,11,8,0
47,12,11,61,242,4,51,0,1,6,1,4,3,0,0,11,8,0
33,5,6,39,136,4,51,0,1,6,1,4,0,0,0,11,8,0
45,10,11,50,206,4,59,0,1,6,1,4,0,0,0,11,8,0
47,12,11,104,307,4,59,0,1,6,1,4,0,0,0,11,8,0
29,12,11,39,136,4,100,0,0,6,1,4,0,0,0,11,8,0
38,12,11,39,136,4,65,0,1,9,1,4,3,0,0,11,8,0
35,12,11,50,206,4,67,0,0,6,1,4,0,0,0,11,8,0
47,12,11,39,136,4,36,0,1,6,1,4,0,0,0,11,8,0
47,5,6,61,242,4,18,0,1,6,1,4,3,0,0,11,8,0
43,12,2,50,206,4,67,0,1,9,1,4,3,0,0,11,8,0
46,10,11,61,242,4,85,0,1,6,1,4,0,0,0,11,8,0
48,11,10,104,307,4,83,0,0,6,1,4,0,0,0,11,8,0
45,12,11,60,238,4,92,0,1,6,1,4,0,0,0,11,8,0
38,5,11,61,242,4,103,0,1,6,1,4,0,0,0,11,8,0
45,12,11,104,307,4,76,0,1,6,1,4,0,0,0,11,8,0
42,10,2,39,136,4,44,0,1,6,1,4,0,0,0,11,8,0
45,12,11,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
47,10,11,43,167,4,92,0,1,9,1,4,0,0,0,11,8,0
48,12,11,89,298,4,59,0,0,6,1,4,0,0,0,11,8,0
44,11,11,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
47,10,11,50,206,4,51,0,1,6,1,4,0,0,0,11,8,0
41,11,11,50,206,4,85,0,0,6,1,4,0,0,0,11,8,0
45,12,11,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
47,12,11,61,242,4,85,0,1,6,1,4,0,0,0,11,8,0
48,12,11,61,242,4,67,0,1,6,1,4,0,0,0,11,8,0
45,11,11,39,136,4,109,0,0,6,1,4,0,0,0,11,8,0
44,12,2,50,206,4,51,0,1,6,1,4,0,0,0,11,8,0
46,12,11,104,307,4,115,0,1,6,1,4,0,0,0,11,8,0
47,10,9,39,136,4,67,0,0,6,1,4,0,0,0,11,8,0
47,10,11,61,242,4,75,0,1,6,1,4,0,0,0,11,8,0
48,5,11,104,307,4,137,0,1,6,1,4,0,0,0,11,8,0
48,10,11,61,242,4,106,0,1,6,1,4,0,0,0,11,8,0
